max_r2,best_alpha,num_features,params

0.04191221691956336,0.0035,43,"[150, 'mse', 3, 1, 2, 'sqrt']"

0.04179761118541288,0.0035,43,"[200, 'mse', 3, 1, 2, 'sqrt']"
